,num_infected,cities_infected,num_interactions
0,2000.0,1,0
1,2436.0,3,2
2,2940.0,10,10
3,3473.0,17,11
4,4056.0,27,16
5,4967.0,40,32
6,5878.0,52,28
7,6984.0,67,44
8,8535.0,82,61
9,10151.0,94,69
10,12113.0,104,82
11,14626.0,112,104
12,17603.0,123,127
13,21211.0,134,157
14,26000.0,141,210
15,31400.0,152,244
16,38074.0,165,289
17,46298.0,176,348
18,55747.0,182,375
19,67910.0,194,470
20,82064.0,213,553
21,99392.0,226,635
22,120938.0,238,732
23,147139.0,250,819
24,178783.0,259,943
25,218297.0,274,1047
26,267491.0,281,1179
27,326022.0,295,1302
28,398445.0,309,1419
29,487088.0,316,1521
30,595252.0,331,1608
31,727896.0,343,1709
32,889160.0,351,1808
33,1089502.0,361,1920
34,1333485.0,372,2029
35,1630305.0,383,2089
36,1989599.0,390,2221
