,num_infected,cities_infected,num_interactions
0,1000,1,0
1,1091,3,2
2,1101,5,4
3,1170,11,8
4,1139,15,10
5,1177,19,8
6,1161,24,9
7,1152,30,9
8,1165,35,11
9,1162,36,8
10,1193,45,18
11,1245,52,19
12,1279,54,18
13,1276,52,16
14,1309,56,20
15,1281,59,16
16,1260,59,18
17,1204,60,12
18,1203,66,18
19,1202,66,17
20,1192,64,16
21,1249,68,21
22,1272,70,21
23,1332,72,25
24,1376,78,26
25,1346,77,16
26,1304,75,16
27,1245,73,13
28,1230,72,17
29,1182,73,12
30,1144,69,16
31,1146,72,17
32,1161,70,18
33,1157,74,18
34,1122,74,15
35,1178,74,25
36,1096,72,9
