,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,3540.0,3,2
2,4427.0,9,8
3,5497.0,31,31
4,6784.0,48,37
5,8215.0,62,46
6,9899.0,76,64
7,12021.0,89,80
8,14329.0,96,82
9,17754.0,107,141
10,21289.0,121,131
11,25874.0,130,182
12,31257.0,139,207
13,38554.0,157,293
14,46980.0,167,345
15,56836.0,178,374
16,69289.0,192,461
17,84842.0,213,546
18,103100.0,229,600
19,125600.0,241,707
20,152452.0,254,822
21,185293.0,264,947
22,225770.0,275,1053
23,275636.0,283,1151
24,336927.0,301,1281
25,411905.0,311,1358
26,502268.0,322,1496
27,612322.0,329,1599
28,750237.0,341,1742
29,914611.0,351,1831
30,1118201.0,358,1908
31,1364347.0,361,2027
32,1668220.0,366,2091
33,2038719.0,374,2180
34,2490636.0,384,2276
35,3047467.0,393,2348
36,3718629.0,403,2439
