,num_infected,cities_infected,num_interactions
0,4000.0,1,0
1,4335.0,3,2
2,4855.0,14,13
3,5385.0,28,24
4,5755.0,37,27
5,6391.0,53,37
6,6850.0,61,37
7,7495.0,74,60
8,8348.0,91,75
9,9070.0,98,81
10,9968.0,104,88
11,10608.0,109,94
12,11813.0,114,109
13,12774.0,123,119
14,13957.0,132,133
15,15212.0,138,154
16,16561.0,147,169
17,18101.0,153,184
18,19663.0,158,202
19,21775.0,162,235
20,23566.0,164,231
21,25563.0,178,264
22,27940.0,183,288
23,30694.0,191,330
24,33440.0,195,338
25,36662.0,208,378
26,39657.0,214,393
27,43261.0,214,434
28,47263.0,220,475
29,51332.0,226,495
30,55749.0,226,536
31,60816.0,226,571
32,66347.0,228,581
33,72156.0,235,617
34,78918.0,237,678
35,85852.0,249,743
36,93936.0,250,793
