Denver:CO,London:United Kingdom,10107
Denver:CO,Mexico City:Mexico,2295
Denver:CO,Mazatlan:Mexico,757
Denver:CO,Tokyo:Japan,455
Denver:CO,Puerto Vallarta:Mexico,3908
Denver:CO,San Jose del Cabo:Mexico,2780
Denver:CO,Edmonton:Canada,4891
Denver:CO,Montreal:Canada,1873
Denver:CO,Vancouver:Canada,6748
Denver:CO,Calgary:Canada,7601
Dallas/Fort Worth:TX,Acapulco:Mexico,829
Dallas/Fort Worth:TX,Cancun:Mexico,21754
Dallas/Fort Worth:TX,Cozumel:Mexico,3887
Dallas/Fort Worth:TX,Guadalajara:Mexico,5425
Dallas/Fort Worth:TX,London:United Kingdom,20100
Dallas/Fort Worth:TX,Madrid:Spain,5369
Dallas/Fort Worth:TX,Mexico City:Mexico,16163
Dallas/Fort Worth:TX,Monterrey:Mexico,8674
Dallas/Fort Worth:TX,Nassau:The Bahamas,1103
Dallas/Fort Worth:TX,Tokyo:Japan,12550
Dallas/Fort Worth:TX,Paris:France,4905
Dallas/Fort Worth:TX,Puerto Vallarta:Mexico,7620
Dallas/Fort Worth:TX,Edmonton:Canada,29
Dallas/Fort Worth:TX,Vancouver:Canada,8723
Dallas/Fort Worth:TX,Calgary:Canada,5792
Dallas/Fort Worth:TX,Toronto:Canada,10919
Dallas/Fort Worth:TX,Ixtapa/Zihuatanejo:Mexico,251
Dallas/Fort Worth:TX,Zurich:Switzerland,10
Dakar:Senegal,New York:NY,1724
Des Moines:IA,Toronto:Canada,6
Detroit:MI,Acapulco:Mexico,28
Detroit:MI,Amsterdam:Netherlands,25381
Detroit:MI,Aruba:Aruba,6
Detroit:MI,Hamilton:Bermuda,1
Detroit:MI,Paris:France,5860
Detroit:MI,Cancun:Mexico,7238
Detroit:MI,Grand Cayman:Cayman Islands,200
Detroit:MI,London:United Kingdom,6242
Detroit:MI,Montego Bay:Jamaica,1667
Detroit:MI,Nassau:The Bahamas,245
Detroit:MI,Tokyo:Japan,9962
Detroit:MI,Puerto Vallarta:Mexico,820
Detroit:MI,Seoul:South Korea,2902
Detroit:MI,Shanghai:China,6333
Detroit:MI,Taipei:Taiwan,726
Detroit:MI,Montreal:Canada,5178
Detroit:MI,Toronto:Canada,8394
Dublin:Ireland,Atlanta:GA,5199
Dublin:Ireland,Boston:MA,7643
Dublin:Ireland,New York:NY,19728
Dublin:Ireland,Chicago:IL,10744
Newark:NJ,Acapulco:Mexico,144
Newark:NJ,Stockholm:Sweden,10043
Newark:NJ,Aruba:Aruba,7179
Newark:NJ,Hamilton:Bermuda,4355
Newark:NJ,Paris:France,18137
Newark:NJ,Copenhagen:Denmark,10396
Newark:NJ,Cancun:Mexico,11300
Newark:NJ,Oslo:Norway,4771
Newark:NJ,Freeport:The Bahamas,9
Newark:NJ,Grand Cayman:Cayman Islands,1258
Newark:NJ,London:United Kingdom,44178
Newark:NJ,Lisbon:Portugal,9183
Newark:NJ,Montego Bay:Jamaica,2328
Newark:NJ,Mexico City:Mexico,7127
Newark:NJ,Nassau:The Bahamas,5842
