,Unnamed: 0,num_infected,cities_infected,num_interactions,run,probability_of_flying_day,transmission_rate,initial_infected,passengers_per_flight,effective_contacts,probability_of_flying,reproduction_number
36,36,0.0,0,0,run-20150321-17,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,1000.0,1,0,run-20150321-170,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-171,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-172,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-173,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-174,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-175,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-176,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-177,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-178,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,1000.0,1,0,run-20150321-179,0.0005,0,"[[366], [1000]]",150,15,0.014891755791629935,1
36,36,0.0,0,0,run-20150321-18,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,1012897.0,342,1906,run-20150321-180,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1228490.0,356,1986,run-20150321-181,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1194325.0,360,1973,run-20150321-182,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1052946.0,352,1894,run-20150321-183,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1269168.0,366,2005,run-20150321-184,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1023201.0,354,1890,run-20150321-185,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1053683.0,355,1909,run-20150321-186,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1229283.0,354,1964,run-20150321-187,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1235685.0,356,1986,run-20150321-188,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1295581.0,367,2023,run-20150321-189,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,0.0,0,0,run-20150321-19,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,1033625.0,355,1888,run-20150321-190,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1301044.0,356,1998,run-20150321-191,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1140344.0,354,1939,run-20150321-192,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1380022.0,366,2046,run-20150321-193,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1241453.0,359,2021,run-20150321-194,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,981077.0,348,1907,run-20150321-195,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1044562.0,347,1916,run-20150321-196,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,988337.0,358,1870,run-20150321-197,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1186973.0,351,1992,run-20150321-198,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,1227118.0,355,2000,run-20150321-199,0.0005,0.07,"[[366], [1000]]",150,15,0.014891755791629935,1.05
36,36,0.0,0,0,run-20150321-2,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-20,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-200,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-201,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-202,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
