Denver:CO,London:United Kingdom,121289
Denver:CO,Manchester:United Kingdom,0
Denver:CO,Melbourne:Australia,0
Denver:CO,Mexico City:Mexico,27538
Denver:CO,Mazatlan:Mexico,9081
Denver:CO,Tokyo:Japan,5456
Denver:CO,Puerto Vallarta:Mexico,46892
Denver:CO,San Jose del Cabo:Mexico,33363
Denver:CO,Sydney:Australia,0
Denver:CO,Edmonton:Canada,58695
Denver:CO,Montreal:Canada,22477
Denver:CO,Vancouver:Canada,80978
Denver:CO,Calgary:Canada,91212
Dallas/Fort Worth:TX,Acapulco:Mexico,9950
Dallas/Fort Worth:TX,Bangkok:Thailand,0
Dallas/Fort Worth:TX,Brussels:Belgium,0
Dallas/Fort Worth:TX,Cancun:Mexico,261044
Dallas/Fort Worth:TX,Cozumel:Mexico,46639
Dallas/Fort Worth:TX,Frankfurt:West Germany,0
Dallas/Fort Worth:TX,Guadalajara:Mexico,65103
Dallas/Fort Worth:TX,Hamburg:West Germany,0
Dallas/Fort Worth:TX,Hong Kong:Hong Kong,0
Dallas/Fort Worth:TX,London:United Kingdom,241199
Dallas/Fort Worth:TX,Madrid:Spain,64423
Dallas/Fort Worth:TX,Mexico City:Mexico,193954
Dallas/Fort Worth:TX,Merida:Mexico,0
Dallas/Fort Worth:TX,Monterrey:Mexico,104087
Dallas/Fort Worth:TX,Munich:West Germany,0
Dallas/Fort Worth:TX,Nassau:The Bahamas,13233
Dallas/Fort Worth:TX,Tokyo:Japan,150597
Dallas/Fort Worth:TX,Paris:France,58854
Dallas/Fort Worth:TX,Puerto Plata:Dominican Republic,0
Dallas/Fort Worth:TX,Puerto Vallarta:Mexico,91444
Dallas/Fort Worth:TX,Philipsburg:Netherlands Antilles,0
Dallas/Fort Worth:TX,Edmonton:Canada,349
Dallas/Fort Worth:TX,Vancouver:Canada,104679
Dallas/Fort Worth:TX,Calgary:Canada,69498
Dallas/Fort Worth:TX,Toronto:Canada,131029
Dallas/Fort Worth:TX,Ixtapa/Zihuatanejo:Mexico,3009
Dallas/Fort Worth:TX,Zurich:Switzerland,123
Dhahran:Saudi Arabia,Washington:DC,0
Dhahran:Saudi Arabia,New York:NY,0
Dakar:Senegal,New York:NY,20692
Denpasar:Indonesia,Guam:TT,0
Denpasar:Indonesia,Honolulu:HI,0
Denpasar:Indonesia,Los Angeles:CA,0
Des Moines:IA,Toronto:Canada,70
Detroit:MI,Acapulco:Mexico,338
Detroit:MI,Amsterdam:Netherlands,304569
Detroit:MI,Aruba:Aruba,71
Detroit:MI,Hamilton:Bermuda,7
Detroit:MI,Paris:France,70323
Detroit:MI,Cancun:Mexico,86859
Detroit:MI,Freeport:The Bahamas,0
Detroit:MI,Frankfurt:West Germany,0
Detroit:MI,Grand Cayman:Cayman Islands,2400
Detroit:MI,London:United Kingdom,74905
Detroit:MI,Montego Bay:Jamaica,20004
Detroit:MI,Nassau:The Bahamas,2935
Detroit:MI,Tokyo:Japan,119548
Detroit:MI,Osaka:Japan,0
Detroit:MI,Puerto Vallarta:Mexico,9835
Detroit:MI,Seoul:South Korea,34822
Detroit:MI,Shanghai:China,75993
Detroit:MI,Taipei:Taiwan,8711
Detroit:MI,Montreal:Canada,62137
Detroit:MI,Toronto:Canada,100723
Detroit:MI,Ixtapa/Zihuatanejo:Mexico,0
Dublin:Ireland,Atlanta:GA,62382
Dublin:Ireland,Boston:MA,91719
Dublin:Ireland,New York:NY,236734
Dublin:Ireland,Chicago:IL,128933
Dusseldorf:West Germany,New York:NY,0
Dusseldorf:West Germany,Los Angeles:CA,0
Dusseldorf:West Germany,Miami:FL,0
Dusseldorf:West Germany,Chicago:IL,0
Dusseldorf:West Germany,San Diego:CA,0
Dusseldorf:West Germany,San Francisco:CA,0
El Paso:TX,Hamburg:West Germany,0
Erie:PA,Toronto:Canada,0
Eugene:OR,Vancouver:Canada,0
Evansville:IN,Puerto Vallarta:Mexico,0
Newark:NJ,Acapulco:Mexico,1728
Newark:NJ,Malaga:Spain,0
Newark:NJ,Auckland:New Zealand,0
Newark:NJ,Stockholm:Sweden,120514
Newark:NJ,Aruba:Aruba,86152
Newark:NJ,Hamilton:Bermuda,52260
Newark:NJ,Bordeaux:France,0
Newark:NJ,Paris:France,217640
Newark:NJ,Cologne:West Germany,0
Newark:NJ,Copenhagen:Denmark,124757
Newark:NJ,Cancun:Mexico,135595
Newark:NJ,Oslo:Norway,57246
Newark:NJ,Freeport:The Bahamas,110
Newark:NJ,Grand Cayman:Cayman Islands,15096
Newark:NJ,Kingston:Jamaica,0
Newark:NJ,London:United Kingdom,530135
Newark:NJ,Lisbon:Portugal,110191
Newark:NJ,Montego Bay:Jamaica,27941
Newark:NJ,Melbourne:Australia,0
Newark:NJ,Mexico City:Mexico,85524
Newark:NJ,Montpellier:France,0
Newark:NJ,Marseille:France,0
Newark:NJ,Nassau:The Bahamas,70109
Newark:NJ,Tokyo:Japan,79514
Newark:NJ,Nantes:France,0
Newark:NJ,Puerto Plata:Dominican Republic,44863
Newark:NJ,Port of Spain:Trinidad and Tobago,17827
Newark:NJ,Santo Domingo:Dominican Republic,81550
Newark:NJ,Seoul:South Korea,0
Newark:NJ,Philipsburg:Netherlands Antilles,32985
Newark:NJ,Sydney:Australia,0
Newark:NJ,Tenerife:Spain,0
Newark:NJ,Toulouse:France,0
Newark:NJ,Taipei:Taiwan,52136
Newark:NJ,Halifax:Canada,55416
Newark:NJ,Ottawa:Canada,45417
Newark:NJ,Montreal:Canada,109495
Newark:NJ,Toronto:Canada,346519
